;CL00_PV_Solar_all;CL01_PV_Solar_all;CL02_PV_Solar_all;CL03_PV_Solar_all;CL04_PV_Solar_all;CL05_PV_Solar_all;CL06_PV_Solar_all
75;0,0;0,0;0,0;0,0;0,0;0,0;0,0
76;0,0;0,0;0,0;0,0;0,0;0,0;0,0
77;0,0;0,0;0,0;0,0;0,0;0,0;0,0
78;0,0;0,0;0,0;0,0;0,0;0,0;0,0
79;0,0740233974886352;0,06282301461118436;0,021810383269148186;0,07567069843435331;0,05153836479255075;0,021145141519696584;0,06134930959923037
80;0,19238338805495586;0,1687528535569074;0,10163385574432879;0,19313297882343555;0,1486877250109353;0,08985556260058718;0,1596323526187387
81;0,2824483048453765;0,24634955225550778;0,18115409605756344;0,2855913893195239;0,19344573189095315;0,13497045333421165;0,23715709125969164
82;0,3340625477220721;0,3023818874069521;0,27623812224679634;0,3341610467206248;0,2572472163123922;0,15033394680826603;0,27800759206486947
83;0,33640895584490127;0,3263929446331322;0,2905515337506319;0,33535749280725863;0,2361043253145208;0,13937770306107328;0,2753990129899978
84;0,2879027642954142;0,2883908209453525;0,2596337078968995;0,2833602872083805;0,16420747861713889;0,1270854519394399;0,20709384044955675
85;0,183599804223645;0,18285773060335705;0,19103292961693474;0,18060330338513816;0,09928123931758442;0,07065855339619578;0,1142068977895973
86;0,06966221830723995;0,07339435205476393;0,09810729098949518;0,0651558982726892;0,04215782942475139;0,027255562548926145;0,040283137963073604
87;0,0;0,0;0,005328544864563301;0,0;0,0;0,0;0,0
88;0,0;0,0;0,0;0,0;0,0;0,0;0,0
89;0,0;0,0;0,0;0,0;0,0;0,0;0,0
90;0,0;0,0;0,0;0,0;0,0;0,0;0,0
91;0,0;0,0;0,0;0,0;0,0;0,0;0,0
92;0,0;0,0;0,0;0,0;0,0;0,0;0,0
93;0,0;0,0;0,0;0,0;0,0;0,0;0,0
94;0,0;0,0;0,0;0,0;0,0;0,0;0,0
95;0,0;0,0;0,0;0,0;0,0;0,0;0,0
96;0,0;0,0;0,0;0,0;0,0;0,0;0,0
97;0,0;0,0;0,0;0,0;0,0;0,0;0,0
98;0,0;0,0;0,0;0,0;0,0;0,0;0,0
99;0,0;0,0;0,0;0,0;0,0;0,0;0,0
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0
101;0,0;0,0;0,0;0,0;0,0;0,0;0,0
102;0,0;0,0;0,0;0,0;0,0;0,0;0,0
103;0,06709948735014896;0,0557302273189266;0,035983347755721797;0,06516411482028805;0,0389108015095952;0,02249993637727239;0,04833933936721197
104;0,18103198393785874;0,15459707044552284;0,16585378620095484;0,1818445908312383;0,07460778691431691;0,10249393993875017;0,09615923071211084
105;0,2559671132422152;0,24061172723949892;0,28164651773264376;0,1853498455531809;0,09550038316493838;0,18964248704957987;0,10691496222871705
106;0,2739728377911278;0,3218534069065209;0,355257839515382;0,1652633147485237;0,10390064108096268;0,25340416881348987;0,11869759967136657
107;0,2817101577144389;0,34461602129464874;0,3752330044880482;0,16800922577385552;0,0997188919052286;0,2750673150344764;0,11195527559039899
108;0,22941669197467632;0,2959477908331275;0,3421130600497093;0,12623710802121033;0,09091987464346224;0,24591915647923732;0,09393598038325532
109;0,1520427019155398;0,20834541382084132;0,25942793640413037;0,08108436239770435;0,057513224004550646;0,17475364328532123;0,06409536405092393
110;0,05753476538867018;0,09138946818818475;0,13669154049472476;0,029330340726687637;0,01976850159611722;0,07605573750635707;0,020654071446835273
111;0,0;0,0;0,011342084771855186;0,0;0,0;0,0;0,0
112;0,0;0,0;0,0;0,0;0,0;0,0;0,0
113;0,0;0,0;0,0;0,0;0,0;0,0;0,0
114;0,0;0,0;0,0;0,0;0,0;0,0;0,0
115;0,0;0,0;0,0;0,0;0,0;0,0;0,0
116;0,0;0,0;0,0;0,0;0,0;0,0;0,0
117;0,0;0,0;0,0;0,0;0,0;0,0;0,0
118;0,0;0,0;0,0;0,0;0,0;0,0;0,0
119;0,0;0,0;0,0;0,0;0,0;0,0;0,0
120;0,0;0,0;0,0;0,0;0,0;0,0;0,0
121;0,0;0,0;0,0;0,0;0,0;0,0;0,0
122;0,0;0,0;0,0;0,0;0,0;0,0;0,0
123;0,0;0,0;0,0;0,0;0,0;0,0;0,0
124;0,0;0,0;0,0;0,0;0,0;0,0;0,0
125;0,0;0,0;0,0;0,0;0,0;0,0;0,0
126;0,0;0,0;0,0;0,0;0,0;0,0;0,0
127;0,0766168169823338;0,06989414093161753;0,03820488553805372;0,07892299243068018;0,05430117310030036;0,044138155832632926;0,07084856823993826
128;0,20074825622135536;0,18873111706936274;0,17121665861874616;0,20136511295563317;0,15518815724391455;0,1626018422777535;0,18763434768090642
129;0,29742153872308114;0,28674268179913814;0,2873394196288679;0,29694169105214185;0,26240201763190246;0,2661209679692426;0,28370942607368643
130;0,3490546326028798;0,346346242216874;0,36030749719555105;0,34835614661687375;0,3237286263548662;0,3277970346757531;0,33802718096774886
131;0,3495883905702077;0,3559484708229522;0,3777643051823134;0,34893772131553086;0,32479050553555316;0,33928831323164094;0,3385952200082816
132;0,2993921629056928;0,3120501956253296;0,34321389068585373;0,2985230826141136;0,2758941146859693;0,29937703977387603;0,2875881372371937
133;0,2040451809606384;0,2179081998432279;0,2600490143136502;0,20240425326506442;0,18318376736155387;0,2124592337373965;0,19181309510265482
134;0,08157791285518302;0,09441209158756632;0,11652492149329584;0,07947959746747481;0,06579121219417731;0,09357975638445501;0,06975958079441928
135;0,0;0,0;0,010125894101277342;0,0;0,0;0,0;0,0
136;0,0;0,0;0,0;0,0;0,0;0,0;0,0
137;0,0;0,0;0,0;0,0;0,0;0,0;0,0
138;0,0;0,0;0,0;0,0;0,0;0,0;0,0
139;0,0;0,0;0,0;0,0;0,0;0,0;0,0
140;0,0;0,0;0,0;0,0;0,0;0,0;0,0
141;0,0;0,0;0,0;0,0;0,0;0,0;0,0
142;0,0;0,0;0,0;0,0;0,0;0,0;0,0
143;0,0;0,0;0,0;0,0;0,0;0,0;0,0
144;0,0;0,0;0,0;0,0;0,0;0,0;0,0
145;0,0;0,0;0,0;0,0;0,0;0,0;0,0
146;0,0;0,0;0,0;0,0;0,0;0,0;0,0
147;0,0;0,0;0,0;0,0;0,0;0,0;0,0
148;0,0;0,0;0,0;0,0;0,0;0,0;0,0
149;0,0;0,0;0,0;0,0;0,0;0,0;0,0
150;0,0;0,0;0,0;0,0;0,0;0,0;0,0
151;0,03831245356845709;0,05216363664755151;0,037618472037509836;0,05372034293335537;0,035694040142919055;0,02542442812281724;0,04143354899024014
152;0,1260508916958137;0,1554761574199286;0,17045388944992496;0,14633267763863173;0,08307859187153058;0,07757730762097724;0,10958891771523505
153;0,20453548439005942;0,23600658124953078;0,2877336409111795;0,24874037714694688;0,13888545611167522;0,12079615149060201;0,15632526856875925
