;CL00_80;CL01_80;CL02_80;CL03_80;CL04_80;CL05_80;CL06_80
100;0;0;0;0;0;0;0
90;0,1;0,1;0,1;0,1;0,1;0,1;0,1
80;0,8;0,8;0,8;0,8;0,8;0,8;0,8
70;0,1;0,1;0,1;0,1;0,1;0,1;0,1
60;0;0;0;0;0;0;0
50;0;0;0;0;0;0;0
40;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
