;CL00_WindOn_2015_all;CL01_WindOn_2015_all;CL02_WindOn_2015_all;CL03_WindOn_2015_all;CL04_WindOn_2015_all;CL05_WindOn_2015_all;CL06_WindOn_2015_all
51;0,7283410727977753;0,5759869463741779;0,8943057149648667;0,2;1,0;0,8602013468742371;0,9215805172920227
52;0,6426645457744599;0,49236511215567585;0,7428123205900193;0,2006452962756157;1,0;0,7726834356784822;0,760757452249527
53;0,5186722755432129;0,4123094081878662;0,44988511130213743;0,2067774921655655;1,0;0,6723789870738983;0,6364777088165283
54;0,20975484848022463;0,19364445209503178;0,20164188444614412;0,17191806584596636;1,0;0,5039084315299989;0,5823826372623444
55;0,05669517293572426;0,062463885545730596;0,14190950691699983;0,09450066089630127;0,9860251486301422;0,34396127760410317;0,5225788772106171
56;0,006592054665088654;0,005650544166564942;0,2033378839492798;0,036474171280860904;0,9695231795310975;0,17447496950626373;0,431857004761696
57;0,006266052275896073;0,00365326888859272;0,15331832170486448;0,023469018191099172;0,971199643611908;0,08647578656673431;0,38345655798912054
58;0,010968690738081934;0,009749744832515717;0,10864176154136657;0,08282438069581986;0,9085342824459076;0,06707245111465455;0,32308031618595123
59;0,009458983689546587;0,009519483894109726;0,13262648582458497;0,13496567755937577;0,7734570682048798;0,04466465413570404;0,27378141283988955
60;0,004455332458019256;0,013418930023908617;0,1818885922431946;0,19992039501667025;0,6545672327280045;0,027164953947067257;0,2123008042573929
61;0,024348592758178713;0,02978190779685974;0,35713220238685606;0,2986193150281906;0,41470341086387635;0,02865939065814018;0,18045142292976385
62;0,06483816877007484;0,06122992932796478;0,7063131213188172;0,3522125154733658;0,20381704196333886;0,032414876669645314;0,22234595715999608
63;0,07753841504454612;0,06819793581962587;0,9587484121322633;0,3027842827141285;0,11128535754978658;0,019415009766817093;0,255043187737465
64;0,08128535225987434;0,06927581727504731;0,885119241476059;0,2303403712809086;0,06668723709881307;0,037332236766815186;0,21748972237110134
65;0,09704169407486915;0,07256693914532661;0,8947654783725739;0,19296454414725303;0,029677160829305653;0,051290433108806606;0,1895778089761734
66;0,09978798627853394;0,07565477564930916;0,9;0,160316214710474;0,02095901556313038;0,11435878984630109;0,20608963668346408
67;0,0934417299926281;0,06127722039818764;0,0;0,13673174008727076;0,0016014374792575835;0,27513918764889245;0,2536025404930115
68;0,12311439886689188;0,05825426243245601;0,0;0,11834421381354333;0,000239533931016922;0,5644728280603886;0,14526226818561555
69;0,20906008183956146;0,1372812557965517;0,0;0,1496514983475208;0,01410973742604256;0,7676711410284042;0,09215797409415247
70;0,8145265221595765;0,8102680213749409;0,0;0,2634838968515396;0,04909549951553345;0,8135232791304589;0,005678196251392365
71;1,0;0,8155481860041619;0,1;0,29429854452610016;0,11237081587314607;0,8035833925008773;0,0
72;1,0;0,8058395057916641;0,1;0,21003855764865878;0,3225208967924118;0,843845734745264;0,0
73;1,0;0,8183558374643327;0,19169610142707824;0,22027987837791446;0,4690689027309418;0,7707923918962479;0,24103047847747805
74;1,0;0,9512204825878143;0,11680324971675873;0,5614055871963501;0,6531399190425874;0,9010797560214997;0,5415357023477554
75;1,0;1,0;0,8870733160525561;0,869758129119873;1,0;0,9438376873731613;0,8378710567951203
76;1,0;0,9991354167461396;0,9007491335272789;0,7393869876861572;1,0;0,9876505672931671;1,0
77;1,0;1,0;0,9036029368638993;0,7455258846282958;1,0;0,9958844721317291;1,0
78;1,0;1,0;0,9036704890429974;0,8224767208099365;1,0;1,0;1,0
79;1,0;1,0;0,9152389198541642;0,767907428741455;1,0;1,0;1,0
80;1,0;1,0;0,9182460069656372;0,7403238773345947;1,0;1,0;1,0
81;1,0;1,0;0,9257605850696564;0,5986343860626221;1,0;1,0;1,0
82;1,0;1,0;0,9364137440919876;1,0;1,0;1,0;1,0
83;1,0;1,0;0,9422799229621888;0,9;1,0;1,0;1,0
84;1,0;1,0;0,9398382514715194;0,9;1,0;1,0;1,0
85;1,0;1,0;0,9330332070589066;1,0;1,0;1,0;1,0
86;1,0;1,0;0,922216609120369;1,0;1,0;1,0;1,0
87;1,0;1,0;0,9214419186115265;1,0;1,0;1,0;1,0
88;1,0;0,9991898834705353;0,9189510166645051;1,0;1,0;1,0;1,0
89;1,0;0,9938106954097747;0,918064022064209;1,0;1,0;1,0;1,0
90;1,0;1,0;0,9200326442718506;1,0;1,0;1,0;1,0
91;1,0;0,9951088786125184;0,9214849174022675;1,0;1,0;1,0;1,0
92;1,0;0,9605560898780823;0,9239550590515136;1,0;1,0;1,0;1,0
93;1,0;0,9394914329051972;0,927703994512558;1,0;1,0;0,9957508742809296;1,0
94;1,0;0,927209097146988;0,9252224773168564;1,0;1,0;0,9785343468189239;1,0
95;1,0;0,9206157326698303;0,11792368292808533;1,0;1,0;0,9627566337585449;1,0
96;1,0;0,9283877789974213;0,1111525870859623;1,0;1,0;0,9556908488273621;1,0
97;1,0;0,9477339088916779;0,9075477197766304;1,0;1,0;0,9377509057521821;1,0
98;1,0;0,9478062450885772;0,9070049829781056;1,0;1,0;0,8865583181381225;1,0
99;1,0;0,9328596770763398;0,9081438958644867;1,0;1,0;0,8454685598611832;0,9996264994144439
100;1,0;0,9258619248867036;0,9119638949632646;0,9219961643218995;1,0;0,7621969372034073;0,9934770941734314
101;1,0;0,9078131318092346;0,8905095964670182;0,8271883010864258;1,0;0,6584766209125519;0,97926282286644
102;1,0;0,8953716456890106;0,8746447890996933;0,7727680683135986;1,0;0,696871566772461;0,9171869039535521
103;1,0;0,8987623989582062;0,5854161024093627;0,7134130001068115;1,0;0,7205665588378907;0,7923911213874817
104;1,0;0,9133214592933655;0,566087955236435;0,6833753108978271;1,0;0,6502348721027374;0,7038501441478728
105;1,0;0,9093334436416627;0,6890380591154099;0,7182229518890381;1,0;0,5944113075733185;0,87484011054039
106;1,0;0,885080423951149;0,846062296628952;0,7155143737792968;1,0;0,6951591014862061;0,9849354207515717
107;1,0;0,8816754549741745;0,8426915496587755;0,6922709941864014;1,0;0,7454747200012207;1,0
108;1,0;0,8824147909879685;0,8449879288673402;0,6958017826080323;1,0;0,7688525199890136;1,0
109;1,0;0,8974722504615784;0,8436443090438843;0,6989017009735108;1,0;0,8062488079071045;1,0
110;1,0;0,9166177093982697;0,854915788769722;0,7365584373474121;1,0;0,8142413794994354;1,0
111;1,0;0,9299428462982179;0,8678799390792847;0,8082541465759278;1,0;0,7924554646015167;1,0
112;1,0;0,9497923374176026;0,8533368468284607;0,9084091663360596;1,0;0,8211117863655091;1,0
113;1,0;0,973126083612442;0,8399545580148697;0,9893245220184326;1,0;0,7936591029167175;1,0
114;1,0;0,9732321441173555;0,8346328079700471;1,0;0,9891418993473053;0,7357882022857667;1,0
115;1,0;0,9569129168987275;0,8352078586816788;1,0;0,9713992595672608;0,6002978950738908;1,0
116;1,0;0,9242616772651673;0,8363028258085251;0,8268043994903564;0,9405516326427461;0,5256783396005631;1,0
117;1,0;0,9063489258289338;0,8414511561393738;0,7689759731292725;0,7905070036649704;0,5012148439884186;1,0
118;1,0;0,8911213338375092;0,8459115236997605;0,7591719150543212;0,6419865548610688;0,46199460327625275;0,9944858431816102
119;1,0;0,8727870285511018;0,7839718073606492;0,6816307544708252;0,5244921624660492;0,39589356482028965;0,9147131025791169
120;0,9830456793308259;0,8550783783197403;0,7201411098241807;0,6303030788898468;0,3804871827363968;0,3126116514205933;0,7958810985088348
121;0,9686140477657318;0,8383679389953614;0,6553966790437699;0,5689256668090821;0,22315216287970546;0,22198083922266962;0,7726746678352356
122;0,741870927810669;0,8296960055828095;0,6041950464248658;0,5685518085956575;0,14770590513944626;0,1412620656192303;0,6479158163070678
123;0,3919974207878113;0,5572184070944786;0,5041640549898148;0,45813758075237276;0,126754043251276;0,07822982519865036;0,6281949341297149
124;0,15145462453365327;0,3383616477251053;0,39706006646156317;0,33117625713348386;0,0884808473289013;0,042862195521593094;0,6623003184795381
125;0,07491379454731942;0,16919333934783937;0,2867567002773285;0,24095158576965334;0,0716523714363575;0,023544763028621674;0,6692758560180664
126;0,06485312134027482;0,11278226375579835;0,19753333032131196;0,17354337573051454;0,040197641402483;0,0059874065220355994;0,6692354142665863
127;0,07998054251074792;0,103428053855896;0,15137506723403932;0,10386759340763091;0,009242875128984451;0,0037601441144943237;0,5723021984100342
128;0,03577975109219551;0,04984686970710754;0,12683822810649875;0,04546458646655083;0,0;0,00016484931111335758;0,38671674430370334
129;0,002241649851202965;0,02191751301288605;0,09604601860046387;0,10153047591447831;0,0;0,0;0,5068828940391541
130;0,0010754771530628205;0,034520953893661506;0,05788980424404144;0,13349165469408036;0,0;0,0002840481698513031;0,45317909717559807
131;0,00020367801189422608;0,025809726119041445;0,051151625066995624;0,11206843107938766;0,0004243645817041397;0,001086045801639557;0,39704090058803565
132;0,0;0,006193593144416809;0,05430707931518555;0,08441067188978195;0,0019988019019365312;0,002642523497343064;0,3390244334936142
133;0,0;0,0;0,04201999232172966;0,03690876364707947;0,005862601473927499;0,005717135965824127;0,24933445453643802
134;0,0;0,00040841549634933465;0,06104099676012993;0,02038734927773476;0,039415055513381966;0,013200342282652853;0,20562347173690798
135;0,0;0,0013982344418764115;0,08046565875411035;0,02600544691085815;0,10879795849323275;0,046810964494943624;0,24167434573173524
136;0,0;0,0;0,0887507200241089;0,02985020875930787;0,18825173377990723;0,09432814940810204;0,25767018496990207
