;IND
0;7,610350076103501e-05
1;7,610350076103501e-05
2;7,610350076103501e-05
3;7,610350076103501e-05
4;7,610350076103501e-05
5;7,610350076103501e-05
6;0,00015220700152207003
7;0,00015220700152207003
8;0,00015220700152207003
9;0,00015220700152207003
10;0,00015220700152207003
11;0,00015220700152207003
12;0,00015220700152207003
13;0,00015220700152207003
14;0,00011415525114155251
15;0,00011415525114155251
16;0,00011415525114155251
17;0,00011415525114155251
18;0,00011415525114155251
19;0,00011415525114155251
20;0,00011415525114155251
21;0,00011415525114155251
22;7,610350076103501e-05
23;7,610350076103501e-05
24;7,610350076103501e-05
25;7,610350076103501e-05
26;7,610350076103501e-05
27;7,610350076103501e-05
28;7,610350076103501e-05
29;7,610350076103501e-05
30;0,00015220700152207003
31;0,00015220700152207003
32;0,00015220700152207003
33;0,00015220700152207003
34;0,00015220700152207003
35;0,00015220700152207003
36;0,00015220700152207003
37;0,00015220700152207003
38;0,00011415525114155251
39;0,00011415525114155251
40;0,00011415525114155251
41;0,00011415525114155251
42;0,00011415525114155251
43;0,00011415525114155251
44;0,00011415525114155251
45;0,00011415525114155251
46;7,610350076103501e-05
47;7,610350076103501e-05
48;7,610350076103501e-05
49;7,610350076103501e-05
50;7,610350076103501e-05
51;7,610350076103501e-05
52;7,610350076103501e-05
53;7,610350076103501e-05
54;0,00015220700152207003
55;0,00015220700152207003
56;0,00015220700152207003
57;0,00015220700152207003
58;0,00015220700152207003
59;0,00015220700152207003
60;0,00015220700152207003
61;0,00015220700152207003
62;0,00011415525114155251
63;0,00011415525114155251
64;0,00011415525114155251
65;0,00011415525114155251
66;0,00011415525114155251
67;0,00011415525114155251
68;0,00011415525114155251
69;0,00011415525114155251
70;7,610350076103501e-05
71;7,610350076103501e-05
72;7,610350076103501e-05
73;7,610350076103501e-05
74;7,610350076103501e-05
75;7,610350076103501e-05
76;7,610350076103501e-05
77;7,610350076103501e-05
78;0,00015220700152207003
79;0,00015220700152207003
80;0,00015220700152207003
81;0,00015220700152207003
82;0,00015220700152207003
83;0,00015220700152207003
84;0,00015220700152207003
85;0,00015220700152207003
86;0,00011415525114155251
87;0,00011415525114155251
88;0,00011415525114155251
89;0,00011415525114155251
90;0,00011415525114155251
91;0,00011415525114155251
92;0,00011415525114155251
93;0,00011415525114155251
94;7,610350076103501e-05
95;7,610350076103501e-05
96;7,610350076103501e-05
97;7,610350076103501e-05
98;7,610350076103501e-05
99;7,610350076103501e-05
100;7,610350076103501e-05
101;7,610350076103501e-05
102;0,00015220700152207003
103;0,00015220700152207003
104;0,00015220700152207003
105;0,00015220700152207003
106;0,00015220700152207003
107;0,00015220700152207003
108;0,00015220700152207003
109;0,00015220700152207003
110;0,00011415525114155251
111;0,00011415525114155251
112;0,00011415525114155251
113;0,00011415525114155251
114;0,00011415525114155251
115;0,00011415525114155251
116;0,00011415525114155251
117;0,00011415525114155251
118;7,610350076103501e-05
119;7,610350076103501e-05
120;7,610350076103501e-05
121;7,610350076103501e-05
122;7,610350076103501e-05
123;7,610350076103501e-05
124;7,610350076103501e-05
125;7,610350076103501e-05
126;0,00015220700152207003
127;0,00015220700152207003
128;0,00015220700152207003
129;0,00015220700152207003
130;0,00015220700152207003
131;0,00015220700152207003
132;0,00015220700152207003
133;0,00015220700152207003
134;0,00011415525114155251
135;0,00011415525114155251
136;0,00011415525114155251
137;0,00011415525114155251
138;0,00011415525114155251
139;0,00011415525114155251
140;0,00011415525114155251
141;0,00011415525114155251
142;7,610350076103501e-05
143;7,610350076103501e-05
144;7,610350076103501e-05
145;7,610350076103501e-05
146;7,610350076103501e-05
147;7,610350076103501e-05
148;7,610350076103501e-05
149;7,610350076103501e-05
150;0,00015220700152207003
151;0,00015220700152207003
152;0,00015220700152207003
153;0,00015220700152207003
154;0,00015220700152207003
155;0,00015220700152207003
156;0,00015220700152207003
157;0,00015220700152207003
158;0,00011415525114155251
159;0,00011415525114155251
160;0,00011415525114155251
161;0,00011415525114155251
162;0,00011415525114155251
163;0,00011415525114155251
164;0,00011415525114155251
165;0,00011415525114155251
166;7,610350076103501e-05
167;7,610350076103501e-05
168;7,610350076103501e-05
169;7,610350076103501e-05
170;7,610350076103501e-05
171;7,610350076103501e-05
172;7,610350076103501e-05
173;7,610350076103501e-05
174;0,00015220700152207003
175;0,00015220700152207003
176;0,00015220700152207003
177;0,00015220700152207003
178;0,00015220700152207003
179;0,00015220700152207003
180;0,00015220700152207003
181;0,00015220700152207003
182;0,00011415525114155251
183;0,00011415525114155251
184;0,00011415525114155251
185;0,00011415525114155251
186;0,00011415525114155251
187;0,00011415525114155251
188;0,00011415525114155251
189;0,00011415525114155251
190;7,610350076103501e-05
191;7,610350076103501e-05
192;7,610350076103501e-05
193;7,610350076103501e-05
194;7,610350076103501e-05
195;7,610350076103501e-05
196;7,610350076103501e-05
197;7,610350076103501e-05
198;0,00015220700152207003
199;0,00015220700152207003
200;0,00015220700152207003
201;0,00015220700152207003
202;0,00015220700152207003
203;0,00015220700152207003
204;0,00015220700152207003
205;0,00015220700152207003
206;0,00011415525114155251
207;0,00011415525114155251
208;0,00011415525114155251
209;0,00011415525114155251
210;0,00011415525114155251
211;0,00011415525114155251
212;0,00011415525114155251
213;0,00011415525114155251
214;7,610350076103501e-05
215;7,610350076103501e-05
216;7,610350076103501e-05
217;7,610350076103501e-05
218;7,610350076103501e-05
219;7,610350076103501e-05
220;7,610350076103501e-05
221;7,610350076103501e-05
222;0,00015220700152207003
223;0,00015220700152207003
224;0,00015220700152207003
225;0,00015220700152207003
226;0,00015220700152207003
227;0,00015220700152207003
228;0,00015220700152207003
229;0,00015220700152207003
230;0,00011415525114155251
231;0,00011415525114155251
232;0,00011415525114155251
233;0,00011415525114155251
234;0,00011415525114155251
235;0,00011415525114155251
236;0,00011415525114155251
237;0,00011415525114155251
238;7,610350076103501e-05
239;7,610350076103501e-05
240;7,610350076103501e-05
241;7,610350076103501e-05
242;7,610350076103501e-05
243;7,610350076103501e-05
244;7,610350076103501e-05
245;7,610350076103501e-05
246;0,00015220700152207003
247;0,00015220700152207003
248;0,00015220700152207003
249;0,00015220700152207003
250;0,00015220700152207003
251;0,00015220700152207003
252;0,00015220700152207003
253;0,00015220700152207003
254;0,00011415525114155251
255;0,00011415525114155251
256;0,00011415525114155251
257;0,00011415525114155251
258;0,00011415525114155251
259;0,00011415525114155251
260;0,00011415525114155251
261;0,00011415525114155251
262;7,610350076103501e-05
263;7,610350076103501e-05
264;7,610350076103501e-05
265;7,610350076103501e-05
266;7,610350076103501e-05
267;7,610350076103501e-05
268;7,610350076103501e-05
269;7,610350076103501e-05
270;0,00015220700152207003
271;0,00015220700152207003
272;0,00015220700152207003
273;0,00015220700152207003
274;0,00015220700152207003
275;0,00015220700152207003
276;0,00015220700152207003
277;0,00015220700152207003
278;0,00011415525114155251
279;0,00011415525114155251
280;0,00011415525114155251
281;0,00011415525114155251
282;0,00011415525114155251
283;0,00011415525114155251
284;0,00011415525114155251
285;0,00011415525114155251
286;7,610350076103501e-05
287;7,610350076103501e-05
288;7,610350076103501e-05
289;7,610350076103501e-05
290;7,610350076103501e-05
291;7,610350076103501e-05
292;7,610350076103501e-05
293;7,610350076103501e-05
294;0,00015220700152207003
295;0,00015220700152207003
296;0,00015220700152207003
297;0,00015220700152207003
298;0,00015220700152207003
299;0,00015220700152207003
300;0,00015220700152207003
301;0,00015220700152207003
302;0,00011415525114155251
303;0,00011415525114155251
304;0,00011415525114155251
305;0,00011415525114155251
306;0,00011415525114155251
307;0,00011415525114155251
308;0,00011415525114155251
309;0,00011415525114155251
310;7,610350076103501e-05
311;7,610350076103501e-05
312;7,610350076103501e-05
313;7,610350076103501e-05
314;7,610350076103501e-05
315;7,610350076103501e-05
316;7,610350076103501e-05
317;7,610350076103501e-05
318;0,00015220700152207003
319;0,00015220700152207003
320;0,00015220700152207003
321;0,00015220700152207003
322;0,00015220700152207003
323;0,00015220700152207003
324;0,00015220700152207003
325;0,00015220700152207003
326;0,00011415525114155251
327;0,00011415525114155251
328;0,00011415525114155251
329;0,00011415525114155251
330;0,00011415525114155251
331;0,00011415525114155251
332;0,00011415525114155251
333;0,00011415525114155251
334;7,610350076103501e-05
335;7,610350076103501e-05
336;7,610350076103501e-05
337;7,610350076103501e-05
338;7,610350076103501e-05
339;7,610350076103501e-05
340;7,610350076103501e-05
341;7,610350076103501e-05
342;0,00015220700152207003
343;0,00015220700152207003
344;0,00015220700152207003
345;0,00015220700152207003
346;0,00015220700152207003
347;0,00015220700152207003
348;0,00015220700152207003
349;0,00015220700152207003
350;0,00011415525114155251
351;0,00011415525114155251
352;0,00011415525114155251
353;0,00011415525114155251
354;0,00011415525114155251
355;0,00011415525114155251
356;0,00011415525114155251
357;0,00011415525114155251
358;7,610350076103501e-05
359;7,610350076103501e-05
360;7,610350076103501e-05
361;7,610350076103501e-05
362;7,610350076103501e-05
363;7,610350076103501e-05
364;7,610350076103501e-05
