Name;Fueltype;Technology;Set;Country;inst-cap;Duration;YearCommissioned;Retrofit;Latitude;Longitude;File;projectID;Type
Emile huchet;Hard Coal;Steam Turbine;PP;France;595,0;0,0;1981,0;1981,0;49,15412;6,7047;RTE;{u'OPSD': [u'OEU76'], u'ENTSOE': [u'17W100P100P0342H', u'17W100P100P03558'], u'CARMA': [u'CARMA12407']};Coal
Dirinon;Oil;NaN;PP;France;170,0;0,0;;;48,39036;-4,263730000000002;RTE;{u'OPSD': [u'OEU85', u'OEU86'], u'ENTSOE': [u'17W100P100P0263D', u'17W100P100P02659'], u'CARMA': [u'CARMA10882']};OilOther
Huutokoski kt;Oil;NaN;PP;Finland;180,0;0,0;;;62,21199300000001;27,673672;EnergyAuthority;{u'OPSD': [u'OEU1199'], u'ENTSOE': [u'44W-T-KT-000002G'], u'CARMA': [u'CARMA18927']};OilOther
Isar;Nuclear;Steam Turbine;PP;Germany;1410,0;0,0;1988,0;1988,0;48,6046;12,29507;;{u'OPSD': [u'BNA0263'], u'ENTSOE': [u'11WD2ISKW000299Q'], u'CARMA': [u'CARMA19606']};Nuclear
Burghausen;Natural Gas;CCGT;PP;Germany;170,0;0,0;1977,0;2001,0;48,186212;12,845768;;{u'OPSD': [u'BNA0172a', u'BNA0172b'], u'ENTSOE': [u'11WD2BUKW000310A'], u'CARMA': [u'CARMA6289']};Gas
Süd;Natural Gas;CCGT;PP;Germany;410,0;0,0;1997,0;1997,0;49,513617;8,431602999999999;;{u'OPSD': [u'BNA0615'], u'ENTSOE': [u'11WD7LUDW5GSUEDE'], u'CARMA': [u'CARMA26117']};Gas
Linz mitte fernheizkraftwerk;Natural Gas;CCGT;CHP;Austria;217,0;0,0;1970,0;1970,0;48,299219;14,322935;http://www.linzag.at/portal/portal/linzag/linzag/linzstrom/kraftwerke/linzmitte/centerWindow?plaginit=1&action=1;{u'OPSD': [u'OEU5692'], u'ENTSOE': [u'14WLSG-MITTE---U'], u'CARMA': [u'CARMA25363', u'CARMA25365', u'CARMA25362']};Gas
Gkl;Natural Gas;CCGT;PP;Germany;230,0;0,0;2013,0;2013,0;52,372917;9,714194;;{u'OPSD': [u'BNA0418'], u'ENTSOE': [u'11WD2LIND5G----6'], u'CARMA': [u'CARMA25307']};Gas
Lielahti;Natural Gas;NaN;PP;Finland;142,0;0,0;;;61,510417;23,675233;EnergyAuthority;{u'OPSD': [u'OEU1292'], u'ENTSOE': [u'44W-T-YT-000005I'], u'CARMA': [u'CARMA25203']};Gas
St laurent;Nuclear;Steam Turbine;PP;France;1830,0;0,0;;;47,72006;1,58009;RTE;{u'OPSD': [u'OEU216', u'OEU217'], u'ENTSOE': [u'17W100P100P0230S', u'17W100P100P0229D'], u'CARMA': [u'CARMA38704']};Nuclear
Kymijärvi;Hard Coal;Steam Turbine;PP;Finland;195,0;0,0;;;60,99248299999999;25,719201;EnergyAuthority;{u'OPSD': [u'OEU1282'], u'ENTSOE': [u'44W-T-YT-000004K'], u'CARMA': [u'CARMA23522']};Coal
Gemeinschaftskraftwerk kiel;Hard Coal;Steam Turbine;CHP;Germany;323,0;0,0;1970,0;1992,0;54,33945;10,1766;;{u'OPSD': [u'BNA0526'], u'ENTSOE': [u'11WD2KIKW000301W'], u'CARMA': [u'CARMA22058']};Coal
Kellosaari;Oil;NaN;PP;Finland;118,0;0,0;;;60,161893000000006;24,908344;EnergyAuthority;{u'OPSD': [u'OEU1242'], u'ENTSOE': [u'44W-T-LV-000005J'], u'CARMA': [u'CARMA21734']};OilOther
Philippsburg;Nuclear;Steam Turbine;PP;Germany;1402,0;0,0;1985,0;1985,0;49,252722;8,435436;;{u'OPSD': [u'BNA0802'], u'ENTSOE': [u'11WD4KKP21N-S--O'], u'CARMA': [u'CARMA34448']};Nuclear
Mittelsbüren;Natural Gas;CCGT;PP;Germany;444,5;0,0;2016,0;2016,0;53,12891;8,68524;;{u'OPSD': [u'BNA1820'], u'ENTSOE': [u'11WD2BMIT0002731'], u'CARMA': [u'CARMA28759']};Gas
Moabit;Hard Coal;Steam Turbine;CHP;Germany;89,0;0,0;1990,0;1990,0;52,53735111;13,34611416;;{u'OPSD': [u'BNA0085a'], u'ENTSOE': [u'11WD8MOAB5X----5'], u'CARMA': [u'CARMA28839']};Coal
Naistenlahti;Natural Gas;NaN;PP;Finland;129,0;0,0;;;61,509751;23,777523;EnergyAuthority;{u'OPSD': [u'OEU1318'], u'ENTSOE': [u'44W-T-YT-000007E'], u'CARMA': [u'CARMA30232']};Gas
Emosson;Hydro;Pumped Storage;Store;Switzerland;360,0;0,0;1975,0;1978,0;46,1025948;7,077055099999999;energy_storage_exchange, BFE;{u'OPSD': [u'OEU884', u'OEU889'], u'ESE': [u'ESE148'], u'ENTSOE': [u'12W-0000000060-F']};PumSt
Neckarwestheim;Nuclear;Steam Turbine;PP;Germany;1310,0;0,0;1989,0;1989,0;49,041111;9,175;;{u'OPSD': [u'BNA0686'], u'ENTSOE': [u'11WD4GKNK1S----S'], u'CARMA': [u'CARMA30731']};Nuclear
Neurath;Lignite;Steam Turbine;PP;Germany;2091,0;0,0;1972,0;1976,0;51,039475;6,6150410000000015;;{u'OPSD': [u'BNA0698', u'BNA0700', u'BNA0699', u'BNA0697', u'BNA0696'], u'ENTSOE': [u'11WD7NEUR-B-KW-B'], u'CARMA': [u'CARMA30912']};Lignite
Niederrad;Natural Gas;CCGT;CHP;Germany;70,0;0,0;2005,0;2005,0;50,0856;8,62785;;{u'OPSD': [u'BNA0285'], u'ENTSOE': [u'11WD2NDR-000204Q'], u'CARMA': [u'CARMA17948']};Gas
Olkiluoto kt;Oil;NaN;PP;Finland;100,5;0,0;;;61,239622;21,448376;EnergyAuthority;{u'OPSD': [u'OEU1327'], u'ENTSOE': [u'44W-T-KT-000003E'], u'CARMA': [u'CARMA32476']};OilOther
Merkenich;Natural Gas;CCGT;CHP;Germany;123,5;0,0;1965,0;2004,0;51,0178545;6,964197499999999;;{u'OPSD': [u'BNA1182', u'BNA0546'], u'ENTSOE': [u'11WD7FUEH5GMEKW7'], u'CARMA': [u'CARMA28116']};Gas
Hongrin leman;Hydro;Pumped Storage;Store;Switzerland;240,0;0,0;1970,0;2016,0;46,419899900000004;6,9287696;energy_storage_exchange,  - Les deux centrales font partie du même système hydraulique;{u'OPSD': [u'OEU915'], u'ESE': [u'ESE147'], u'ENTSOE': [u'12W-0000000116-C']};PumSt
Tierfehd nestil;Hydro;Pumped Storage;Store;Switzerland;141,0;0,0;2010,0;2010,0;46,878482399999996;8,982065400000002;energy_storage_exchange,   ;{u'ESE': [u'ESE140'], u'OPSD': [u'OEU698'], u'CARMA': [u'CARMA30839']};PumSt
Witznau;Hydro;Pumped Storage;Store;Germany;220,0;2,83;1943,0;1943,0;47,687740000000005;8,2516;energy_storage_exchange;{u'ESE': [u'ESE30'], u'OPSD': [u'BNA1071'], u'CARMA': [u'CARMA49939']};PumSt
Urdiceto;Hydro;Pumped Storage;Store;Spain;7,2;0,0;1929,0;1930,0;42,6334211;0,218018;energy_storage_exchange, SEDE;{u'ESE': [u'ESE209'], u'OPSD': [u'OEU4922', u'OEU4921'], u'CARMA': [u'CARMA47273']};PumSt
