Country;Duration;File;Fueltype;Latitude;Longitude;Name;Prob;Retrofit;Set;Technology;Type;YearCommissioned;inst-cap;projectID;Year;year_mu;year_stdev
Norway;0,0;energy_storage_exchange, ENTSOE, Nordpool;Hydro;59,49881;6,526562;Saurdal;;1986,0;Store;Pumped Storage;PumSt;1986,0;640,0;{u'GPD': [u'GPD11748'], u'OPSD': [u'OEU5407', u'OEU5408', u'OEU5406', u'OEU5405'], u'ESE': [u'ESE169'], u'ENTSOE': [u'50WP00000000607Y'], u'CARMA': [u'CARMA39960']};1986,0;;
Spain;0,0;energy_storage_exchange, Red Eléctrica de España, SEDE;Hydro;37,5429955;-6,0568552;Guillena;;1973,0;Store;Pumped Storage;PumSt;1973,0;215,0;{u'GPD': [u'GPD13275'], u'OPSD': [u'OEU4730', u'OEU4731', u'OEU4732'], u'ESE': [u'ESE202'], u'ENTSOE': [u'18WGUIG-12345-0D', u'18WGUIB-12345-0Q'], u'CARMA': [u'CARMA16238']};1973,0;;
Norway;0,0;energy_storage_exchange, ENTSOE, Nordpool;Hydro;60,903569999999995;7,201722999999999;Aurland;;1979,0;Store;Pumped Storage;PumSt;1979,0;270,0;{u'GPD': [u'GPD11510'], u'OPSD': [u'OEU5367', u'OEU5369', u'OEU5368'], u'ESE': [u'ESE170'], u'ENTSOE': [u'50WP00000000022P', u'50WP00000000024L', u'50WP00000000020T', u'50WP00000000025J', u'50WP00000000023N'], u'CARMA': [u'CARMA2568', u'CARMA2567', u'CARMA2569']};1979,0;;
Spain;0,0;energy_storage_exchange, Red Eléctrica de España, SEDE;Hydro;43,092929;-4,0152019999999995;Aguayo;;1983,0;Store;Pumped Storage;PumSt;1982,0;360,0;{u'GPD': [u'GPD13136'], u'OPSD': [u'OEU4564', u'OEU4566', u'OEU4565', u'OEU4567'], u'ESE': [u'ESE78'], u'ENTSOE': [u'18WAGUB-12345-0T', u'18WAGUG-12345-0G'], u'CARMA': [u'CARMA446']};1983,0;;
Poland;0,0;energy_storage_exchange, GPI;Hydro;51,9863325;15,060819899999998;Dychów;;2005,0;Store;Pumped Storage;PumSt;1936,0;90,0;{u'GEO': [u'GEO42468'], u'ESE': [u'ESE171'], u'ENTSOE': [u'19W000000000272Y'], u'CARMA': [u'CARMA11576'], u'OPSD': [u'OEU247', u'OEU248', u'OEU246']};2005,0;;
Italy;0,0;energy_storage_exchange, Terna;Hydro;46,1804266;10,3298933;Edolo;;1985,0;Store;Pumped Storage;PumSt;1984,0;1000,0;{u'GEO': [u'GEO43971'], u'ESE': [u'ESE8'], u'ENTSOE': [u'26WIMPI-S03EDLO9'], u'CARMA': [u'CARMA11821'], u'OPSD': [u'OEU1042']};1985,0;;
Spain;0,0;Red Eléctrica de España, SEDE;Nuclear;40,950367;0,8657469999999999;Vandellos;;1987,0;PP;Steam Turbine;Nuclear;1987,0;1045,31;{u'GPD': [u'GPD13734'], u'GEO': [u'GEO5910'], u'ENTSOE': [u'18WVAN2-12345-0W'], u'CARMA': [u'CARMA47723'], u'OPSD': [u'OEU4929']};1987,0;;
Germany;4,670000000000001;energy_storage_exchange;Hydro;51,8989299;9,9261805;Erzhausen;;1998,0;Store;Pumped Storage;PumSt;1964,0;220,0;{u'GEO': [u'GEO44352'], u'ESE': [u'ESE36'], u'ENTSOE': [u'11WD2ERZH0002682'], u'CARMA': [u'CARMA12680'], u'OPSD': [u'BNA0558']};1998,0;;
Luxembourg;0,0;energy_storage_exchange;Hydro;49,9341924;6,2019917;Vianden;;2015,0;Store;Pumped Storage;PumSt;1962,0;1291,0;{u'GEO': [u'GEO45216'], u'ESE': [u'ESE15'], u'ENTSOE': [u'11WD72VIA2H-KW-0'], u'CARMA': [u'CARMA48071'], u'OPSD': [u'BNA1675', u'BNA0981', u'BNA0978', u'BNA0982', u'BNA0983', u'BNA0979', u'BNA0984', u'BNA0980', u'BNA0985', u'BNA0986', u'BNA0987']};2015,0;;
Austria;0,0;energy_storage_exchange, https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke;Hydro;47,086791399999996;11,7738871;Roßhag;;1972,0;Store;Pumped Storage;PumSt;1972,0;231,0;{u'GEO': [u'GEO45043'], u'ESE': [u'ESE120'], u'ENTSOE': [u'14W-TZR-KW-----I'], u'CARMA': [u'CARMA38019'], u'OPSD': [u'OEU5787']};1972,0;;
France;0,0;energy_storage_exchange, RTE;Hydro;49,9218041;4,6036679000000005;Revin;;1976,0;Store;Pumped Storage;PumSt;1976,0;800,0;{u'GEO': [u'GEO39715', u'GEO45157'], u'ESE': [u'ESE55'], u'ENTSOE': [u'17W100P100P02780'], u'CARMA': [u'CARMA37152'], u'OPSD': [u'OEU112']};1976,0;;
