;CL00.WindOn;CL01.WindOn;CL02.WindOn;CL03.WindOn;CL04.WindOn;CL05.WindOn;CL06.WindOn;CL00.PV;CL01.PV;CL02.PV;CL03.PV;CL04.PV;CL05.PV;CL06.PV
774;0,10691920444369317;0,07599425613880156;0,3944859087467194;0,024658603221178056;0,3022854566574097;0,2714760459959507;0,16279717683792114;0,0;0,0;0,0;0,0;0,0;0,0;0,0
775;0,09125073030591012;0,058082157745957375;0,4805392563343048;0,0504973791539669;0,28392527997493744;0,3693897187709809;0,1525875084102154;0,007718020460804014;0,0012889733612926038;0,0;0,009058550710467465;0,0016557183711129676;0,0;0,007451211710173266
776;0,05609707832336426;0,035669634118676186;0,6710780799388886;0,06791096478700638;0,2219305574893952;0,2478987731039525;0,12067069560289385;0,13494973678894825;0,1061346950632867;0,029217070087803963;0,14171986886824273;0,11075917883038232;0,03428752870174001;0,12365997916879262
777;0,037504991888999945;0,023145042732357974;0,7737058579921723;0,052178962156176574;0,17708137333393095;0,1726323060691357;0,06920451372861862;0,19403361173727285;0,2270016188414988;0,09375266721919112;0,26644958059913665;0,2091796585640305;0,06754889934572783;0,242272919978352
778;0,07484695389866829;0,061340695619583135;0,7890006422996519;0,055520332604646686;0,29644083082675937;0,30397216603159904;0,1097423404455185;0,2432624011800277;0,3295091310414732;0,2081144182909129;0,32026637748273645;0,302050820346666;0,09705172712322048;0,32719501713259125
779;0,12773998603224754;0,12525696195662026;0,9720565915107728;0,09708112552762033;0,3665478080511093;0,4888450741767884;0,08976187780499457;0,3366079078582373;0,3952307157015053;0,3020542287267353;0,350392916640108;0,3306556262151384;0,1377905505779345;0,35695711490395715
780;0,1834879368543625;0,1866436287760735;0,9855120718479156;0,12902641594409944;0,4830807864665986;0,6365642368793488;0,06864224150776864;0,3894599919451536;0,3520552731885281;0,35117653416730793;0,3570780625883036;0,28467327806708337;0,18188544460910466;0,3286720617480249
781;0,20404030978679655;0,2208999734371901;0,9676138818264008;0,11958274096250535;0,5657935976982117;0,7008854866027833;0,07376551404595376;0,3453289985862314;0,2906229037362161;0,29339243072445303;0,3235837452717588;0,20129690502746533;0,2225576389946178;0,21336688060741
782;0,16834278106689454;0,1824884414672852;0,5602687269449235;0,07515393495559693;0,4883757591247559;0,4672449499368668;0,06447611451148988;0,23156504408240086;0,2352262942471943;0,2106903391104823;0,19498012992891808;0,13066831057938585;0,1659356705717389;0,11593243580169035
783;0,14866881668567658;0,09541059136390688;0,1614119805395603;0,053557888418436055;0,3904349207878113;0,3010567307472229;0,04862048104405403;0,10848818133001692;0,13826079828290996;0,13816823217129331;0,06985933910428556;0,08566409153620556;0,1027988181967492;0,07531151553238791
784;0,17533390522003178;0,07140257358551026;0,09762709215283394;0,061857123672962186;0,5747245669364929;0,2703973084688187;0,058184954524040225;0,027019626094674547;0,03707101135168515;0,044594592494318165;0,01409832919527692;0,01894976826914436;0,023345054278254836;0,0173512050143612
785;0,13677412271499634;0,034571635723114016;0,1441792041063309;0,07335053682327271;0,5722573757171632;0,21659208834171295;0,11646874174475673;0,0;0,0;0,0;0,0;0,0;0,0;0,0
786;0,047733570635318766;0,0;0,2584078788757324;0,05877743661403656;0,5750913351774216;0,18037415742874147;0,2763860613107681;0,0;0,0;0,0;0,0;0,0;0,0;0,0
787;0,007784364372491837;0,0;0,3278633564710617;0,036922752857208266;0,5482845127582551;0,1619709312915802;0,4578380435705186;0,0;0,0;0,0;0,0;0,0;0,0;0,0
788;0,0020431105047464372;0,0;0,2400908380746841;0,020834237337112427;0,5184725999832154;0,21315453350543972;0,5053497046232224;0,0;0,0;0,0;0,0;0,0;0,0;0,0
789;0,009374714270234109;0,0;0,10838589668273928;0,018235058337450028;0,5022562801837922;0,3055896550416946;0,5487358689308167;0,0;0,0;0,0;0,0;0,0;0,0;0,0
790;0,009112751856446269;0,0;0,0431313879787922;0,0152964286506176;0,4619170635938645;0,3505309045314789;0,4573666363954545;0,0;0,0;0,0;0,0;0,0;0,0;0,0
791;0,0114020511507988;0,005243670940399171;0,016817809641361238;0,015091647952795028;0,41822248995304107;0,3806027412414551;0,35577551424503323;0,0;0,0;0,0;0,0;0,0;0,0;0,0
792;0,018942449614405638;0,006430190801620484;0,004835902899503708;0,02027995437383652;0,4063661962747574;0,3681992053985596;0,2594393938779831;0,0;0,0;0,0;0,0;0,0;0,0;0,0
793;0,01431305035948753;0,0016212642192840578;0,0016009226441383365;0,02181804552674293;0,5039827704429627;0,29749269485473634;0,20008704066276556;0,0;0,0;0,0;0,0;0,0;0,0;0,0
794;0,011749694868922234;0,0;0,0;0,01883464157581329;0,4551379173994064;0,21323969662189485;0,17112215757369995;0,0;0,0;0,0;0,0;0,0;0,0;0,0
795;0,005205172300338745;0,0;0,0;0,014735595881938937;0,4452198177576065;0,1394810914993286;0,1683828741312027;0,0;0,0;0,0;0,0;0,0;0,0;0,0
796;0,0;0,0;0,0005822859704494478;0,00907910317182541;0,4466502636671067;0,07891943529248238;0,16360299289226532;0,0;0,0;0,0;0,0;0,0;0,0;0,0
797;0,0;0,0;0,038643379509448995;0,0039217263460159316;0,41288632452487933;0,033644371479749684;0,16619432270526888;0,0;0,0;0,0;0,0;0,0;0,0;0,0
798;0,0;0,0;0,10997087843716144;0,00035553276538848885;0,3418087363243103;0,01813567690551281;0,15516917183995246;0,0;0,0;0,0;0,0;0,0;0,0;0,0
799;0,0;0,0;0,20456517711281774;0,0;0,2823131151497364;0,013068684935569766;0,13838822543621065;0,0033493000096174504;0,0019616535802560115;0,0;0,003411610005860653;0,003637361658213331;0,0;0,0103867237462632
800;0,0005470652133226396;0,0;0,29131060615181925;0,0;0,23134363964200025;0,006529857218265532;0,06985039412975312;0,05633808489030245;0,09010083902138837;0,09157029478184124;0,05054369645509975;0,12232647516312573;0,10246194946527842;0,14116997411304288
