;CL00;CL01;CL02;CL03;CL04;CL05;CL06;CL07
46;528,3547643694948;371,79831651191984;870,8081905084615;1456,3964171387881;351,0713765041711;1209,0467049935357;2474,4723649205125;644,8934043596604
47;537,6503854196393;380,81246399942836;889,2513671539821;1324,9356667443365;345,74911057135193;1073,6651497025082;2144,5912997244427;638,6171001466563
48;543,2827001701737;386,05405588086336;903,2524400981443;1229,0458010359048;341,17399544396835;978,2714468649623;1914,4873119484655;634,0130296714678
49;562,6379377082021;400,3282047920452;940,2600442804503;1129,2775149735924;343,0263632791176;870,1935240515514;1645,2493781354724;642,0921951348391
50;583,0564171529516;417,12105286893444;967,9821091446684;1066,8472948947763;347,4553502621913;796,8204331876266;1453,2981902429947;651,297384795366
51;586,1730556781839;420,51287835339286;973,1416696742922;1038,7311680770706;346,80098646807176;766,2996637364263;1377,16967012332;650,4393489814512
52;598,5738921642396;429,27808045548124;997,2396813625113;1060,2795262223967;354,04050878816946;783,8144544548325;1410,6791297085394;665,3005346308341
53;609,4587055914152;435,08014605674873;1018,7328217689484;1136,5779063033458;364,189005261175;859,867489633589;1587,630546928489;685,731046986634
54;689,0264506945699;499,52085384213115;1126,3813217521667;1205,8181582495342;402,77093751567054;888,89033561633;1586,0051826197584;755,0459072536095
55;718,7629461360987;513,9507826515372;1184,7691535145477;1334,0600877673896;426,6352206972544;1013,2540478825582;1869,340929846565;802,8422131677745
56;766,5921489561691;538,3793048144793;1277,6273284892857;1403,951819266716;455,586134704153;1067,6658690249137;1976,9131226771067;863,0734175598054
57;792,5676887909488;553,1624510332499;1328,1243762840327;1447,6987092282463;472,1085792828447;1099,846927498983;2039,2067767606777;895,8273396983277
58;798,3696210355562;559,1459218188486;1350,143948795399;1490,0024822958594;478,58519528556684;1138,5891811202969;2125,559312888672;908,5819649215518
59;770,8268081595851;541,6415597440193;1312,3446040427866;1492,2236734953751;466,90668437233364;1149,668720388535;2167,9524429756802;884,4677019741
60;737,8151819337861;520,658803014508;1255,753247362262;1454,790096682308;449,2079953463449;1122,0687837342261;2121,6583815619447;848,104686370219
61;728,1231619417372;518,0373833613332;1239,6953976862244;1437,625701590641;442,89970332043185;1106,853310325195;2088,220490917606;835,3260457245275
62;674,0691653628087;478,3733902568607;1147,6192776107275;1478,0166018977427;420,8311552892235;1174,9014283902773;2291,3766684252846;790,6421440603594
63;654,6391569901682;467,67690162991573;1092,228653697281;1546,3575998039762;415,26267252683436;1251,2583100725317;2479,0962832563036;772,2858891832393
64;669,5322886379091;478,7102666300465;1103,906064588295;1666,8269929186542;429,98509501240306;1369,35874615502;2746,09372835638;795,6246117433144
65;629,3052912627817;447,0749071945846;1031,2057027155665;1727,6274795290371;416,2821552588323;1441,0804092566036;2945,1169963592365;764,262901422369
66;597,5750644025652;419,3406704646971;965,9474249140662;1675,2125981492381;398,2970197626373;1395,4753168781936;2863,1573347788394;727,6501717489772
67;585,4237674022278;407,5188004152178;931,7747645603083;1579,9639898070702;385,72380980550093;1302,8113715093355;2654,126459358089;703,3202192789656
68;579,4683624714115;406,4635872047996;930,319561868299;1468,8726063965553;374,8325732896757;1196,796420729921;2406,5341227404706;686,8899916597032
69;574,9510984067015;408,7400919897388;936,9792735377873;1377,7867151272526;365,97456716613704;1106,028457325378;2189,6459589019305;673,5651118492539
70;507,28584124979056;357,24951482245154;838,5661207337707;1409,3635699511347;337,90677769908933;1172,3283034204703;2403,5664465794775;620,9971311254021
71;502,944028493077;356,84875097415863;831,9485368362967;1309,4824319790462;328,3553436268741;1073,6514804430487;2169,751750223346;604,746440862364
72;509,4555060221325;363,98747521830376;839,4221980571936;1210,5348543358023;323,61894175369054;972,1808220220005;1921,9208792596805;597,7590719567663
73;507,7466045584806;364,5484629606513;833,3099234898016;1129,4307245263788;316,647412909599;890,7824665322863;1727,9286409884548;585,5311355174196
74;540,2771794128844;389,6630439858062;880,8840579720029;1075,1026767089238;327,30279423272464;822,0348292505837;1538,6887061733798;607,016900536766
75;546,3740997908205;395,2232764379212;886,3566914794395;1046,51817401958;327,8046640262613;790,0326313421674;1456,370549080184;607,6696682399
76;555,5887196801806;401,57664595738305;900,3868557446012;1062,2593471940681;333,0360235694701;802,8488655523739;1480,079545062891;617,5917605543275
77;557,2304081565103;401,10925784930777;902,8870072720136;1112,3723621501788;337,0367060903444;856,422106163446;1609,1781089456854;625,5487961450166
78;634,2358975101771;462,36950159483257;1011,0064891607263;1128,651211978607;371,1001377011641;835,183144150097;1493,7891743807363;688,9955644494962
79;645,8771890088235;464,9931292688002;1017,025336296889;1240,4062897492433;384,5801049240217;950,549507901916;1764,1270839306105;711,7854683737921
80;654,9177183292768;464,848297089141;1008,9562174753232;1347,9570820485726;396,61281099965544;1060,435447998239;2021,7995771975216;729,1489667219405
81;656,6323687743444;464,8579251516958;1008,3412404328504;1435,5925516147747;404,23066243924274;1147,795163121005;2228,3754586740215;740,4267893236176
82;654,792017787184;467,3099212620666;1027,9627571887067;1510,5132862118885;409,47481646349945;1222,5499799042088;2405,6500803615004;751,6621058872597
83;631,7174991405993;452,1758722760995;1002,4448698613722;1550,6811873286488;402,64396181712686;1266,924453982595;2525,5731904877966;737,2469601624908
84;609,8824217355382;437,52424033755096;973,4769520721754;1502,5631229099656;389,5708607577881;1222,6837476546295;2435,4401989964413;712,9554391995426
85;617,7660301223596;446,0086177560413;996,7553842024153;1440,6011611824194;388,7496010114147;1157,172455092574;2273,62434299262;715,0765264152516
86;580,5321289809149;416,12626599982684;941,8658854232071;1419,7108740801245;370,74642658919515;1157,138182358857;2307,800244339155;682,8345985610224
87;599,1666858156531;430,38258335612;967,4493447538821;1449,1846062101208;380,880655391167;1181,7428512059291;2351,5690282522523;701,5847329481998
88;642,3037822283798;459,8799399537557;1030,9090560388815;1585,123178794849;409,95546100326493;1306,6323648967455;2616,861330651184;754,8488231337631
89;615,7383246371263;437,4388137480777;987,8698679146258;1659,9478735313112;404,20377450056725;1383,8154932853533;2819,678686579463;739,6304005410698
90;604,8602978621516;423,9347770019202;966,0348200945441;1649,2423214989185;399,256312077039;1374,8407088908734;2811,6569759789513;729,8567846101812
91;601,702862405578;418,67851393055054;951,250551310388;1587,7815888748837;393,3759656945207;1313,322882556425;2670,2883950217383;718,8029847456731
92;589,7710560623077;414,301406861036;942,5404237089172;1491,5486898752345;380,86150202330293;1220,2529515746824;2455,907900322121;698,3395354309805
93;583,542665994965;415,6896281676259;944,6934522963937;1406,608237626899;371,6347676358223;1133,2879393087328;2247,46691110276;683,1398691374426
94;517,4464967938424;365,17155719478745;847,9443360177554;1435,9511543908777;344,24446731254477;1194,739725922734;2447,777203232495;631,2469006299845
95;519,8991154475127;370,0224960451808;852,594493271727;1319,4091513549463;336,6498327124479;1076,2034174310945;2161,5320781426117;619,2870065921479
96;549,8560886250904;393,56172755437575;908,05230468899;1225,5809220216097;343,541375412247;972,0960524105644;1893,2941380940993;637,6223534722831
