l_id;v_id_1;v_id_2;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation;V1_long;V1_lat;V2_long;V2_lat;voltage;wires;cables;frequency
10471;64370;55284;"220kV Polkowice - Leszno;220kV Polkowice - Leszno, 220kV Plewiska - Polkowice;220kV Plewiska - Polkowice";;;57876,7883614129;;;;;;16.5231046862742;51.9014545030108;16.0750192940392;51.4972513015237;220000,0;1,0;3,0;50,0
58666;30277;42950;Anlage 5230;;;2320,8082941993603;;;;;;9.07351608242384;49.3119354039984;9.09183530449903;49.2946188998808;220000,0;1,0;3,0;50,0
71067;2710;36990;380kV-Nordeinspeisung;Wien Energie GmbH;;1066,82037094869;;;;;;16.3899197391595;48.2575889853378;16.3823881326542;48.2672512575134;380000,0;1,0;6,0;50,0
8665;39661;55425;Rondissone - Biella Est;;22.288;48209,56178327389;;;;;;8.0828831612503;45.5486301858444;7.93591360078911;45.2332266685502;220000,0;1,0;3,0;50,0
67171;45948;2491;;RTE;;80783,6143068893;;;;;;2.51676553142559;47.7331055203179;2.26037310703474;47.1019208384443;400000,0;1,0;3,0;50,0
41033;50994;66288;;Svenska kraftnät;;3587,7837835736896;;;;;;15.1204651561559;59.7653768389353;15.1469863721465;59.79501160408;400000,0;1,0;3,0;50,0
42072;60298;26410;Sauda-Nesflaten;;;13,658727604880301;;;;;;6.81642239461133;59.6493501951301;6.81618568853397;59.6494048004989;300000,0;1,0;3,0;50,0
65682;47613;13547;;;;172472,001739808;;;;;;34.524859675398;49.5400716735552;33.7695210955653;50.6903713876309;330000,0;1,0;3,0;50,0
40079;32076;60029;;RWE;4579;3816,3662980885206;;;;;;6.94278562085104;51.6000779052093;6.93046262161502;51.5668470868676;380000,0;1,0;12,0;50,0
61449;10613;10614;;Red Eléctrica de España;;3826,9982494171795;;;;;;-0.62028724767677;38.299302146756;-0.636163213605709;38.2645477481722;220000,0;1,0;3,0;50,0
42064;60297;32453;;;;14,070426566245;;;;;;6.00971299125295;59.8635060016599;6.0095528216378;59.8636146948165;300000,0;1,0;3,0;50,0
64958;64664;46998;;;;9017,14891253359;;;;;;25.2972743580872;42.6487912776843;25.3749229345594;42.6101498061084;220000,0;1,0;3,0;50,0
23463;23823;23824;;;;496,21737506622594;;;;;;12.0206674542286;45.4687298041289;12.0156986028975;45.4715268774384;220000,0;1,0;3,0;50,0
64425;21344;12665;;;;21043,4316818256;;;;;;14.8413695155495;56.1527954638885;14.712879077805;56.3183025738926;400000,0;1,0;3,0;50,0
69816;19302;49891;;;;19926,6347485299;;;;;;30.7650728816534;46.578035752899;30.9317651048384;46.6994071911738;330000,0;1,0;3,0;50,0
80509;41441;40067;"DV Žerjavinec - Cirkovce;Cirkovce-Žerjavinec";;;70130,2852872305;;;;;;15.7327329429881;46.3987043026573;16.1627306958623;45.8760847017595;220000,0;1,0;3,0;50,0
68273;62287;2608;"220kV LMG West;110kV Lirich West+Thyssen Ost;220kV LMG Ost";RWE;4582;110,259408408976;;;;;;6.9306456084384;51.4978751972989;6.92675898550662;51.4992056970517;220000,0;1,0;3,0;50,0
21742;64260;57434;;;;23102,560801083902;;;;;;-5.70130581336031;37.4386164649601;-5.83855042246809;37.2937590978572;220000,0;1,0;6,0;50,0
1367;60985;62564;;;;55,1352613072514;;;;;;28.3775068273208;60.8780987882732;28.3783780011775;60.8782065918354;400000,0;1,0;3,0;50,0
12672;29962;21653;;RTE;;20288,630507512902;;;;;;5.03123932753241;45.779571006338;5.26641802709579;45.7983677730146;225000,0;1,0;3,0;50,0
13128;54378;55357;DV Tumbri - Melina;;;127108,738382205;;;;;;14.5640241726802;45.316279602188;15.8692401743535;45.6815389647535;400000,0;1,0;3,0;50,0
63195;42221;11861;;;;22730,159833423397;;;;;;37.7597397054508;48.534343527471;37.8571319800875;48.3647485927727;330000,0;1,0;3,0;50,0
68468;58344;15179;Камчия;;;85734,9453824783;;;;;;26.9480224767725;42.6614164656503;26.1367238461084;42.2565577527009;220000,0;1,0;3,0;50,0
74158;33939;3148;;RTE;;706,3708492828771;;;;;;0.190710987345648;49.4983908091649;0.180383271947337;49.4952375588431;225000,0;1,0;6,0;50,0
80559;5856;40094;;Lyse;;175,99255631487202;;;;;;5.73431572282604;58.8153721319754;5.73505012869297;58.8180035059458;132000,0;1,0;3,0;50,0
558;8484;55581;;;;39929,4375354803;;;;;;9.23495376054539;53.9168466240082;8.82847935790118;54.1468596760803;320000,0;1,0;3,0;0,0
30841;12363;58861;;;;2942,2218847788104;;;;;;23.5708842742449;46.0890520437317;23.6020347495046;46.079184283758;220000,0;1,0;6,0;50,0
45268;55410;66832;380kV Hamaland + Münsterland;RWE;4306;1751,44936699355;;;;;;7.03495909892925;52.202859515607;7.01586509635015;52.1926445887378;380000,0;1,0;6,0;50,0
