;Region;Available;Available_Masked;Available_Area_km2;FLH_Mean;FLH_Median;FLH_Max;FLH_Min;FLH_Mean_Masked;FLH_Median_Masked;FLH_Max_Masked;FLH_Min_Masked;FLH_Std_Masked;Power_Potential_GW;Power_Potential_Weighted_GW;Energy_Potential_TWh;Energy_Potential_Weighted_TWh;Energy_Potential_Weighted_Masked_TWh;FLH_Std
0;CL00_land;119257;17794;17406,473216503062;1380,3348302774334;1370,603223183537;1507,7988231999295;1295,801065854771;1377,4915709840698;1371,7191545394137;1458,6010607588805;1306,3004856158072;27,713139139646486;2785,035714640491;8,15184641920802;3844,60191621447;11,306911782952355;5,822030338428275;33,09018243317901
1;CL01_land;71866;17914;10594,853387353583;1394,5024478212038;1389,2900113557475;1461,9029419608173;1350,0306686813533;1387,2140432032838;1387,5615662283058;1461,9029419608173;1360,8550956324218;16,65465842999435;1695,176541976574;5,224405061014029;2363,8993646078957;7,279118193985586;6,012513655102626;24,93551953452167
2;CL02_land;90008;9763;13174,390787930604;1445,9345628987644;1450,9995078630407;1515,6261055427033;1350,1670042732615;1432,4363370468839;1436,3339524388412;1515,6261055427033;1360,4366644636127;52,42499011845709;2107,9025260688963;12,434590402500032;3048,136411882673;18,06807634825434;3,3352065034839247;48,904548792781256
3;CL03_land;60895;10033;8867,818155921841;1355,965342230293;1348,5801874072188;1431,2991211120166;1287,8124440416566;1359,236764616001;1351,392817320806;1431,2991211120166;1299,286730230991;18,16388958971811;1418,8509049474947;3,7356351152091425;1924,000544693523;5,087765931220497;3,235527335305052;21,853210702165452
4;CL04_land;102421;63316;14627,154084853872;1331,8123880690878;1332,0716513582129;1363,0207252761854;1297,1559098447838;1336,9585718080393;1337,5735208260749;1363,0207252761854;1303,2207400469104;14,57567755151722;2340,344653576618;14,450216666611203;3116,874950693498;19,31855425418827;19,229513029925357;15,842514571772538
5;CL05_land;86616;53090;12466,18032941868;1315,604201606317;1305,9640858585954;1357,065980498183;1280,4912509155804;1314,2207994893843;1305,7416682079247;1357,0511268112125;1291,404869823529;17,259556711791767;1994,5888527069883;12,803529201652337;2624,1277787396093;16,840889031635026;16,081615831075332;18,37467855410879
6;CL06_land;51075;28873;7373,6838933000045;1346,110030612862;1349,9773582434657;1376,240153461105;1299,4223055131708;1352,9604417669125;1356,0266710820463;1376,240153461105;1307,0547587131882;13,904958379027946;1179,7894229280005;6,794656896268702;1588,1716618355192;9,191401891601524;9,044873008957916;20,039301197435016
