Country/area;Technology;inst-cap (MW);prod (MWh);FLH (h)
SVN;Concentrated solar power;0,0;0,0;0,0
SVN;Geothermal;0,0;0,0;0,0
SVN;Liquid biofuels;1,0;4000,0;4000,0
SVN;Marine;0,0;0,0;0,0
SVN;Offshore wind energy;0,0;0,0;0,0
SVN;Onshore wind energy;5,0;6000,0;1200,0
SVN;Other solid biofuels;30,0;131000,0;4366,666666666667
SVN;Pumped storage;180,0;283000,0;1572,2222222222222
SVN;Renewable hydropower;1115,0;3807000,0;3414,3497757847535
SVN;Renewable municipal waste;0,0;0,0;0,0
SVN;Solar photovoltaic;238,0;274000,0;1151,2605042016808
